0	-nan	-nan	-nan	
5.40003	1.56742	0.242258	0.0649028	
5.41003	1.56686	0.244112	0.0653749	
5.42003	1.56759	0.246382	0.0658801	
5.43003	1.56902	0.248339	0.0662693	
5.44003	1.57101	0.249919	0.066547	
5.45003	1.57396	0.251725	0.0668803	
5.46003	1.57736	0.253337	0.0671481	
5.47003	1.58094	0.254822	0.0673809	
5.48003	1.58456	0.256274	0.0676296	
5.49003	1.5881	0.256863	0.0677444	
5.50003	1.5919	0.25725	0.067834	
5.51003	1.59605	0.258246	0.0678614	
5.52003	1.60012	0.259064	0.0678011	
5.53003	1.60411	0.259695	0.0676731	
5.54003	1.60807	0.25973	0.067389	
5.55003	1.61194	0.25883	0.0670046	
5.56003	1.61573	0.25699	0.0665158	
5.57003	1.61944	0.254203	0.0659092	
5.58003	1.6239	0.251927	0.0655831	
5.59003	1.62979	0.252197	0.0659418	
5.60003	1.63598	0.253412	0.0662412	
5.61003	1.64216	0.25358	0.0664485	
5.62003	1.64819	0.252978	0.0664025	
5.63003	1.65384	0.25234	0.0660749	
5.64003	1.65908	0.252011	0.0656477	
5.65003	1.66395	0.251586	0.0650559	
5.66003	1.66839	0.251336	0.0644875	
5.67003	1.67248	0.250614	0.063698	
5.68004	1.67633	0.25029	0.0629859	
5.69004	1.67994	0.250101	0.0622921	
5.70004	1.68351	0.249696	0.0615159	
5.71004	1.68702	0.249373	0.0607403	
5.72004	1.69042	0.249189	0.0600179	
5.73004	1.69322	0.249765	0.0596616	
5.74004	1.69579	0.250299	0.0594531	
5.75004	1.69816	0.250963	0.0593437	
5.76004	1.70032	0.251679	0.0593583	
5.77004	1.70223	0.252554	0.0594359	
5.78004	1.70398	0.25307	0.059481	
5.79004	1.70568	0.253202	0.059585	
5.80004	1.70734	0.253845	0.059804	
5.81004	1.70913	0.25445	0.0601527	
5.82004	1.71105	0.255025	0.0606613	
5.83004	1.7131	0.255585	0.0613544	
5.84004	1.71531	0.256137	0.0622134	
5.85004	1.7177	0.256674	0.062942	
5.86004	1.72031	0.25715	0.0634987	
5.87004	1.72311	0.257561	0.0638854	
5.88004	1.72603	0.257824	0.0640842	
5.89004	1.72905	0.257896	0.0641112	
5.90004	1.73217	0.258431	0.0639924	
5.91004	1.73535	0.258899	0.0637658	
5.92004	1.7386	0.259328	0.0634381	
5.93004	1.74191	0.259751	0.063025	
5.94004	1.74531	0.260191	0.0625409	
5.95004	1.7488	0.260664	0.0620025	
5.96004	1.75237	0.261177	0.0614188	
5.97004	1.75605	0.261738	0.0608106	
5.98004	1.75982	0.26235	0.0601819	
5.99004	1.76364	0.263013	0.0595166	
6.00004	1.76749	0.263745	0.0587751	
6.01004	1.77135	0.264563	0.0579431	
6.02004	1.77519	0.265531	0.0569985	
6.03004	1.779	0.266609	0.0559576	
6.04004	1.78277	0.26773	0.0548949	
6.05004	1.78654	0.26881	0.0538887	
6.06004	1.79026	0.269997	0.0528108	
6.07004	1.79391	0.27126	0.0516582	
6.08004	1.79738	0.272358	0.0504702	
6.09004	1.80093	0.273442	0.0493429	
6.10004	1.80453	0.274403	0.048215	
6.11004	1.80816	0.275139	0.0470069	
6.12005	1.81195	0.275679	0.0457288	
6.13005	1.81591	0.276281	0.0444413	
6.14005	1.81987	0.276892	0.0430363	
6.15005	1.82385	0.277469	0.041585	
6.16005	1.82783	0.278035	0.0401387	
6.17005	1.83178	0.278536	0.0387214	
6.18005	1.83574	0.278949	0.0373445	
6.19005	1.83971	0.279248	0.0360166	
6.20005	1.84371	0.279407	0.0347501	
6.21005	1.84776	0.2794	0.0335571	
6.22005	1.85187	0.279193	0.03245	
6.23005	1.85592	0.278647	0.0314261	
6.24005	1.85964	0.277226	0.0303324	
6.25005	1.8636	0.27533	0.0293548	
6.26005	1.86808	0.273292	0.0286612	
6.27005	1.87293	0.270961	0.0281564	
6.28005	1.87791	0.268268	0.0277866	
6.29005	1.88294	0.265168	0.0275257	
6.30005	1.88805	0.261622	0.0273724	
6.31005	1.8932	0.25759	0.0273146	
6.32005	1.89841	0.253061	0.027319	
6.33005	1.90365	0.247973	0.0273356	
6.34005	1.90774	0.247116	0.0268627	
6.35005	1.91128	0.247955	0.0265921	
6.36005	1.91456	0.24864	0.0263206	
6.37005	1.91754	0.249255	0.0260662	
6.38005	1.92017	0.249851	0.0258508	
6.39005	1.92247	0.250448	0.0256353	
6.40005	1.92484	0.251058	0.0251154	
6.41005	1.92762	0.251558	0.0244373	
6.42005	1.93021	0.252092	0.023953	
6.43005	1.93271	0.252551	0.0235051	
6.44005	1.93512	0.252866	0.022974	
6.45005	1.93746	0.253022	0.0223379	
6.46005	1.93974	0.25302	0.0216192	
6.47005	1.94197	0.252875	0.0208081	
6.48005	1.94411	0.252566	0.0199281	
6.49005	1.94617	0.252105	0.018989	
6.50005	1.94817	0.25152	0.0180204	
6.51005	1.95006	0.250748	0.0170014	
6.52005	1.95182	0.24979	0.0159064	
