0	-nan	-nan	-nan	
4.63001	0.0351827	0.0149244	-0.13302	
4.64001	0.0385155	0.0142612	-0.128816	
4.65001	0.0422055	0.0134498	-0.125194	
4.66001	0.044517	0.0128789	-0.120293	
4.67001	0.0431278	0.0124285	-0.11253	
4.68001	0.0415753	0.0121602	-0.104116	
4.69001	0.03992	0.0122263	-0.0953619	
4.70001	0.0382423	0.0129392	-0.0863212	
4.71001	0.0363662	0.0141379	-0.0770267	
4.72001	0.0343061	0.0158439	-0.0675435	
4.73001	0.0320443	0.0179949	-0.0578558	
4.74001	0.0292564	0.0211048	-0.0480954	
4.75001	0.0240841	0.0252602	-0.0381543	
4.76001	0.0196018	0.029586	-0.0280676	
4.77001	0.0176325	0.0322238	-0.0173846	
4.78001	0.0144483	0.0361414	-0.00689317	
4.79001	0.0106654	0.0405025	0.00378775	
4.80001	0.00650354	0.044962	0.0146536	
4.81002	0.00198788	0.049689	0.0256413	
4.82002	-0.0027993	0.0545534	0.0367369	
4.83002	-0.00680841	0.057778	0.0482228	
4.84002	-0.0113175	0.0617318	0.0594255	
4.85002	-0.0158282	0.0655773	0.0706121	
4.86002	-0.0200426	0.0687403	0.08175	
4.87002	-0.0244093	0.0725475	0.0924464	
4.88002	-0.0292431	0.0766269	0.102855	
4.89002	-0.0341101	0.0806019	0.113098	
4.90002	-0.0390596	0.0846487	0.123013	
4.91002	-0.0439449	0.088535	0.132609	
4.92002	-0.0486286	0.0921059	0.141889	
4.93002	-0.053024	0.0954702	0.150738	
4.94002	-0.0572984	0.098572	0.159073	
4.95002	-0.0613057	0.10139	0.166835	
4.96002	-0.0649856	0.103876	0.173998	
4.97002	-0.068192	0.105869	0.180567	
4.98002	-0.0673938	0.104581	0.188243	
4.99002	-0.0649731	0.0990877	0.197467	
5.00002	-0.0625868	0.0931154	0.205556	
5.01002	-0.0593395	0.087991	0.211184	
5.02002	-0.0551941	0.0825738	0.215149	
5.03002	-0.0500828	0.0762967	0.218215	
5.04002	-0.0439575	0.0691329	0.220416	
5.05002	-0.0368956	0.061115	0.221891	
5.06002	-0.0288226	0.0520179	0.222773	
5.07002	-0.019586	0.0417424	0.223157	
5.08002	-0.00917712	0.0302884	0.223108	
5.09002	0.00245899	0.0175647	0.222669	
5.10002	0.0153332	0.0034982	0.221875	
5.11002	0.0294843	-0.0120058	0.22078	
5.12002	0.0449351	-0.0290241	0.219444	
5.13002	0.0542941	-0.042674	0.217699	
5.14002	0.0511846	-0.0454918	0.216263	
5.15002	0.0491568	-0.0449184	0.214527	
5.16002	0.0482235	-0.0418977	0.212223	
5.17002	0.0480685	-0.0365517	0.209769	
5.18002	0.0476821	-0.0312067	0.206413	
5.19002	0.0460194	-0.0315819	0.201744	
5.20002	0.0442942	-0.0319352	0.196747	
5.21002	0.0422195	-0.0319923	0.191649	
5.22002	0.0398278	-0.0319785	0.186698	
5.23002	0.037094	-0.0321269	0.181826	
5.24003	0.0339218	-0.0329252	0.176893	
5.25003	0.0304344	-0.0339946	0.172091	
5.26003	0.0265154	-0.0353252	0.167663	
5.27003	0.0221187	-0.0368966	0.163775	
5.28003	0.0172976	-0.0385889	0.160517	
5.29003	0.0122175	-0.0401102	0.157812	
